set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0008311	5	GO:1900264	7	6	0.0678571428571429	1.2793703907444e-10	1.92375602426479	double-stranded DNA 3'-5' DNA exonuclease activity	positive regulation of DNA-directed DNA polymerase activity
GO:0005216	9	GO:0015276	12	6	0.0678571428571429	1.2793703907444e-10	1.92375602426479	monoatomic ion channel activity	ligand-gated monoatomic ion channel activity
GO:0003994	3	GO:0044571	10	6	0.0679591836734694	1.29084429569468e-10	1.92358983430427	aconitate hydratase activity	[2Fe-2S] cluster assembly
GO:0036155	3	GO:0052650	7	6	0.067984693877551	1.29372607810388e-10	1.92354829279599	acylglycerol acyl-chain remodeling	all-trans-retinol dehydrogenase (NADP+) activity
GO:0010248	10	GO:0022890	4	6	0.0680612244897959	1.30240348561602e-10	1.92342368262314	establishment or maintenance of transmembrane electrochemical gradient	inorganic cation transmembrane transporter activity
GO:0006089	4	GO:0045252	8	6	0.0681887755102041	1.31697317127234e-10	1.92321604682526	lactate metabolic process	oxoglutarate dehydrogenase complex
GO:0016024	12	GO:0032049	5	6	0.0683418367346939	1.33463512162659e-10	1.92296696273423	CDP-diacylglycerol biosynthetic process	cardiolipin biosynthetic process
GO:0001401	12	GO:0006119	3	6	0.0683673469387755	1.33759780462579e-10	1.92292545707983	SAM complex	oxidative phosphorylation
GO:0006119	3	GO:0140275	12	6	0.0683673469387755	1.33759780462579e-10	1.92292545707983	oxidative phosphorylation	MIB complex
GO:0016212	3	GO:0070814	4	6	0.068469387755102	1.34950318481988e-10	1.92275945834007	kynurenine-oxoglutarate transaminase activity	hydrogen sulfide biosynthetic process
GO:0030252	6	GO:0060396	8	6	0.0685714285714286	1.36149638616981e-10	1.92259349779167	growth hormone secretion	growth hormone receptor signaling pathway
GO:0014808	3	GO:0016247	9	6	0.0688010204081633	1.3888048504978e-10	1.92222022610394	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	channel regulator activity
GO:0008417	9	GO:0097503	7	7	0.138469387755102	1.71584237234422e-10	1.92214643818624	fucosyltransferase activity	sialylation
GO:0070700	9	GO:1990459	8	7	0.138494897959184	1.71801808768707e-10	1.92211060106373	BMP receptor binding	transferrin receptor binding
GO:0006664	3	GO:0008499	10	6	0.0688775510204082	1.3980080667856e-10	1.92209584511899	glycolipid metabolic process	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity
GO:0002116	13	GO:0060754	4	6	0.0688775510204082	1.3980080667856e-10	1.92209584511899	semaphorin receptor complex	positive regulation of mast cell chemotaxis
GO:0046632	5	GO:0140288	6	6	0.0689540816326531	1.40726184610109e-10	1.92197148557718	alpha-beta T cell differentiation	GBAF complex
GO:0045182	8	GO:0097484	6	6	0.0689540816326531	1.40726184610109e-10	1.92197148557718	translation regulator activity	dendrite extension
GO:0008109	3	GO:0036065	8	6	0.0689795918367347	1.41035771351224e-10	1.92193003716045	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity	fucosylation
GO:0007320	3	GO:0010524	12	6	0.0692857142857143	1.44795123204959e-10	1.92143284183661	insemination	positive regulation of calcium ion transport into cytosol
GO:0015280	12	GO:0061337	6	6	0.0695408163265306	1.47991102685487e-10	1.92101877402176	ligand-gated sodium channel activity	cardiac conduction
GO:0010898	6	GO:0055102	4	6	0.0695918367346939	1.48637271439293e-10	1.92093598897313	positive regulation of triglyceride catabolic process	lipase inhibitor activity
GO:0035590	9	GO:1905232	3	6	0.0696428571428571	1.49285780105239e-10	1.92085321342419	purinergic nucleotide receptor signaling pathway	cellular response to L-glutamate
GO:0060342	4	GO:1901018	7	6	0.0696428571428571	1.49285780105239e-10	1.92085321342419	photoreceptor inner segment membrane	positive regulation of potassium ion transmembrane transporter activity
GO:0034498	10	GO:0098842	5	6	0.0697959183673469	1.51245412901792e-10	1.92060494375372	early endosome to Golgi transport	postsynaptic early endosome
GO:0070296	4	GO:0098970	7	6	0.0697959183673469	1.51245412901792e-10	1.92060494375372	sarcoplasmic reticulum calcium ion transport	postsynaptic neurotransmitter receptor diffusion trapping
GO:0000828	8	GO:0004439	7	6	0.0697959183673469	1.51245412901792e-10	1.92060494375372	inositol hexakisphosphate kinase activity	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
GO:0000076	8	GO:0005663	4	6	0.0698469387755102	1.51903348613639e-10	1.92052220618174	DNA replication checkpoint signaling	DNA replication factor C complex
GO:0005869	8	GO:0008290	4	6	0.0698724489795918	1.52233206175964e-10	1.92048084095419	dynactin complex	F-actin capping protein complex
